record_id,road_name,contractor_name,allotted_budget_inr,amount_used_inr,budget_note,materials_used,audit_1_date,audit_1_status,audit_1_remarks,audit_2_date,audit_2_status,audit_2_remarks,audit_3_date,audit_3_status,audit_3_remarks,construction_start_date,construction_end_date,date_opened_to_public,last_maintenance_date
RW001,Rajiv Main Road,Arunachalam Road Works,36100000,31390224,Within budget,Concrete M30 grade | River sand (Zone II) | Coarse aggregate (20mm) | HDPE drainage pipes | Pre-cast kerb stones | Anti-skid bituminous surface dressing | Solar road studs | Stormwater drain gratings (Cast iron),20-Jul-2023,Failed,Joint sealant missing at 4 locations. Contractor directed to seal within 2 weeks.,14-Sep-2023,Passed,All manhole covers flush with road surface. No tripping hazards found.,31-Jan-2024,Passed,Quality of base layer found satisfactory. Compaction density above 98% Proctor.,17-Oct-2022,29-Jan-2024,13-Mar-2024,08-Sep-2024
RW002,Sarabhai Junction Road,Vel Murugan Builders,30500000,27112874,Within budget,Bituminous Macadam (BM) Grade 2 | Dense Bituminous Macadam (DBM) | Steel reinforcement bars (Fe500) | Portland Pozzolana Cement (PPC) | Coarse aggregates (20mm & 40mm) | Kerb stones (Granite) | Thermoplastic road marking paint | Reflective studs,23-Oct-2023,Passed,Drainage channels functional. Road markings and signage verified.,25-Oct-2023,Passed,Riding quality index satisfactory. Surface texture depth adequate.,27-Aug-2024,Passed,Kerb stone alignment and levelling checked. Within plus/minus 5mm tolerance.,04-Apr-2023,18-Aug-2024,07-Sep-2024,04-Apr-2025
RW003,Tagore East Coast Road,Sterling Road Builders,43200000,41601511,Within budget,Salt-resistant bituminous mix (coastal formulation) | Corrosion-resistant reinforcement (HYSD Fe415D) | Fibre-reinforced concrete (polypropylene fibres) | Marine-grade epoxy coating for kerbs | Anti-skid surface dressing | HDPE geo-membrane (damp-proofing) | LED cat eyes,10-Apr-2022,Passed,Thermoplastic markings retroreflectivity tested and found satisfactory.,13-Apr-2022,Passed,Sub-grade moisture content within limits. No swelling observed.,28-Jul-2022,Passed,Anti-skid surface dressing properly applied. Skid resistance test passed.,03-Jan-2022,05-Jun-2022,09-Jul-2022,26-Dec-2022
RW004,Periyar High Road,Ponni Constructions,31300000,30922240,Within budget,Dense Bituminous Macadam (DBM) Layer I & II | Open graded premix carpet (OGPC) | Bitumen VG-30 | Crushed stone aggregate (10mm & 6mm) | Cement concrete kerbs | Epoxy road marking paint | Speed breaker rubber pads | PVC stormwater pipes (315mm dia),24-Feb-2024,Passed,Joints sealed properly. No cracking observed. Road certified for use.,29-Feb-2024,Passed,Riding quality index satisfactory. Surface texture depth adequate.,09-Apr-2024,Passed,All manhole covers flush with road surface. No tripping hazards found.,10-Nov-2023,30-Mar-2024,03-May-2024,02-Apr-2025
RW005,Ramanujan Junction Road,Arunachalam Road Works,33000000,29803084,Within budget,Polymer Modified Bitumen (PMB 40) | Modified Bituminous Concrete (MBC) | Basalt fibre reinforcement | Warm mix asphalt additive (Evotherm) | Recycled concrete aggregate (30% blend) | Tactile paving blocks | High-visibility road studs | Galvanised steel guard rails,22-May-2020,Failed,Improper compaction of WMM layer. Density less than 95% Proctor. Redo directed.,18-Sep-2020,Passed,Riding quality index satisfactory. Surface texture depth adequate.,30-Jul-2021,Passed,Anti-skid surface dressing properly applied. Skid resistance test passed.,25-Mar-2020,08-Jun-2021,08-Jul-2021,01-Dec-2023
RW006,T. Nagar Ring Road,Maha Infrastructure Pvt. Ltd.,59100000,57801966,Within budget,Salt-resistant bituminous mix (coastal formulation) | Corrosion-resistant reinforcement (HYSD Fe415D) | Fibre-reinforced concrete (polypropylene fibres) | Marine-grade epoxy coating for kerbs | Anti-skid surface dressing | HDPE geo-membrane (damp-proofing) | LED cat eyes,10-Apr-2020,Passed,Sub-grade moisture content within limits. No swelling observed.,04-May-2020,Passed,Kerb stone alignment and levelling checked. Within plus/minus 5mm tolerance.,17-Jun-2020,Passed,Thermoplastic markings retroreflectivity tested and found satisfactory.,20-Oct-2019,01-Jun-2020,19-Jun-2020,27-May-2021
RW007,Jayalalithaa Avenue,RK Road Works Pvt. Ltd.,58500000,58700000,"Overrun of Rs.200,000 approved. Reason: Unexpected soil stabilisation requirement",Lime-treated soil (sub-base) | Wet Mix Macadam (WMM) | Bituminous Concrete (BC) Grade 1 | Fly ash bricks (side drains) | White retro-reflective paint | Flexible delineators | RCC manholes | Geotextile fabric,16-Aug-2022,Passed,Joints sealed properly. No cracking observed. Road certified for use.,26-Oct-2022,Passed,Expansion joints properly aligned and sealed. No spalling at edges.,20-Jan-2023,Passed,Quality of base layer found satisfactory. Compaction density above 98% Proctor.,09-Jul-2022,27-Dec-2022,02-Feb-2023,02-Jan-2025
RW008,Rajiv Junction Road,Kavi Civil & Infrastructure Co.,35300000,31686147,Within budget,Rigid pavement PQC M40 grade | Dowel bars (32mm dia MS) | Tie bars (16mm dia) | Joint sealant (Polyurethane) | Sub-base GSB (Granular Sub-Base) | Drainage cells (HDPE honeycomb) | Pre-fabricated expansion joints | Solar-powered road markers,09-Oct-2021,Passed,Geotextile fabric placement verified. No displacement observed.,08-Nov-2021,Passed,Drainage channels functional. Road markings and signage verified.,12-Dec-2021,Passed,Load deflection within permissible limits as per IRC:58-2015.,09-Jun-2021,26-Nov-2021,04-Jan-2022,07-Apr-2022
RW009,Arumbakkam Canal Road,National Highway Infra Builders,23600000,20593758,Within budget,Polymer Modified Bitumen (PMB 40) | Modified Bituminous Concrete (MBC) | Basalt fibre reinforcement | Warm mix asphalt additive (Evotherm) | Recycled concrete aggregate (30% blend) | Tactile paving blocks | High-visibility road studs | Galvanised steel guard rails,29-Mar-2024,Passed,Load deflection within permissible limits as per IRC:58-2015.,24-May-2024,Passed,"All road furniture, lighting, and markings in place. Final audit cleared.",17-Jun-2024,Passed,Bitumen content tested within acceptable range. Layer thickness meets IRC norms.,25-Feb-2024,25-May-2024,24-Jun-2024,30-Apr-2025
RW010,Arignar Tank Road,Durai Constructions & Co.,16700000,16102862,Within budget,Polymer Modified Bitumen (PMB 40) | Modified Bituminous Concrete (MBC) | Basalt fibre reinforcement | Warm mix asphalt additive (Evotherm) | Recycled concrete aggregate (30% blend) | Tactile paving blocks | High-visibility road studs | Galvanised steel guard rails,08-Jul-2023,Passed,Anti-skid surface dressing properly applied. Skid resistance test passed.,27-Jul-2023,Passed,Expansion joints properly aligned and sealed. No spalling at edges.,05-Oct-2023,Passed,Anti-skid surface dressing properly applied. Skid resistance test passed.,18-Apr-2023,19-Sep-2023,07-Oct-2023,01-Apr-2025
