contractor_id,contractor_name,registered_address,phone,email,gst_number,license_number,license_class,license_expiry_date,year_of_registration,experience_years,specialization,total_projects_handled,projects_completed,projects_ongoing,total_contract_value_inr,avg_contract_value_inr,performance_rating,rating_grade,payment_status,last_payment_received_date,pending_dues_inr,blacklist_status,blacklist_date,blacklist_reason,blacklist_lifted_date,blacklist_lifted_reason,performance_issues_noted,empanelled_with
CON001,Sri Balaji Infrastructure Pvt. Ltd.,"614, Porur Salai, Vellore, Tamil Nadu - 600023",+91-7754542562,sri.roads@yahoo.co.in,33UGKSN9446G1ZN,TN/PWD/ClassC/2016/317,Class C,22-Aug-2026,2016,9,Highway & Expressway Works,80,78,2,470000000,5875000,4.9,Excellent,Pending - Minor Delay,12-Dec-2024,5000000,Blacklisted,09-Oct-2021,Multiple failed audits with no corrective action,N/A,N/A,Delayed completion on 2 projects by over 60 days,Chennai Metro Rail Ltd. | Chennai Corporation (GCC) | PWD Tamil Nadu
CON002,Coastal Roads & Builders Ltd.,"474, Ambattur Main Road, Trichy, Tamil Nadu - 600067",+91-9949935962,coastal.roads@roads.co.in,33MBDYT7491S1ZB,TN/PWD/ClassAA/1998/123,Class AA,22-Aug-2026,1998,27,Flyover & Grade Separator Projects,18,15,3,490000000,27222222,3.1,Average,Pending - Minor Delay,03-Jan-2024,2500000,Active - Clean Record,N/A,N/A,N/A,N/A,Minor billing discrepancy flagged in 2021 - closed,CMDA
CON003,Durai Constructions & Co.,"559, Perambur Nagar, Trichy, Tamil Nadu - 600052",+91-9703726561,durai.roads@outlook.com,33YMBTT7191D1Z9,TN/PWD/ClassB/2000/281,Class B,07-Mar-2028,2000,25,Coastal & Marine Road Works,71,70,1,1360000000,19154929,3.1,Average,Partially Cleared,04-Jul-2024,0,Previously Blacklisted - Now Active,12-Aug-2017,Substandard material usage confirmed by lab test,23-Aug-2022,Penalty paid and corrective work completed,Late submission of completion certificates on 1 project,PWD Tamil Nadu | Municipal Corporation Coimbatore
CON004,Metro Build Solutions Pvt. Ltd.,"396, Chromepet Avenue, Tirunelveli, Tamil Nadu - 600054",+91-9666258624,metro.roads@roads.co.in,33CXYTK4366K1Z6,TN/PWD/ClassB/2001/882,Class B,10-Jul-2026,2001,24,Rural Road Development (PMGSY),18,15,3,2200000000,122222222,4.9,Excellent,Cleared,05-Feb-2024,0,Active - Clean Record,N/A,N/A,N/A,N/A,Late submission of completion certificates on 1 project,Chennai Metro Rail Ltd. | TNRDC | NHAI | PWD Tamil Nadu
CON005,KSR Infrastructure Pvt. Ltd.,"290, Porur Ring Road, Salem, Tamil Nadu - 600049",+91-9222498912,ksr.roads@roads.co.in,33WQTEJ1032G1ZA,TN/PWD/ClassB/2016/526,Class B,28-Jul-2026,2016,9,Coastal & Marine Road Works,59,59,0,620000000,10508474,3.9,Good,Cleared,01-Jan-2024,0,Active - Clean Record,N/A,N/A,N/A,N/A,None,Chennai Metro Rail Ltd. | PWD Tamil Nadu
CON006,Vignesh Road Works Ltd.,"480, Velachery Avenue, Trichy, Tamil Nadu - 600072",+91-8740092048,vignesh.roads@roads.co.in,33UVQGT9800B1ZQ,TN/PWD/ClassB/2006/670,Class B,25-Apr-2027,2006,19,Rigid Pavement & Concrete Roads,58,55,3,930000000,16034482,3.4,Average,Cleared,06-Mar-2024,0,Active - Clean Record,N/A,N/A,N/A,N/A,None,PWD Tamil Nadu | Chennai Metro Rail Ltd. | TNRDC | NHAI
CON007,National Highway Infra Builders,"475, Adyar Nagar, Salem, Tamil Nadu - 600074",+91-9766760155,national.roads@yahoo.co.in,33VYMXX4102Q1ZX,TN/PWD/ClassAA/1998/437,Class AA,11-Feb-2028,1998,27,Bituminous Road Construction,80,78,2,110000000,1375000,4.1,Good,Cleared,13-May-2024,0,Active - Clean Record,N/A,N/A,N/A,N/A,Delayed completion on 2 projects by over 60 days,Chennai Corporation (GCC) | Municipal Corporation Coimbatore | NHAI | TNRDC
CON008,Blue Sea Constructions Pvt. Ltd.,"59, Guindy Layout, Salem, Tamil Nadu - 600090",+91-9539664751,blue.roads@yahoo.co.in,33VCEGJ5157W1ZY,TN/PWD/ClassAA/2018/794,Class AA,05-Dec-2025,2018,7,Highway & Expressway Works,27,27,0,210000000,7777777,4.5,Excellent,Dispute Resolved,13-Jul-2024,1100000,Active - Clean Record,N/A,N/A,N/A,N/A,Minor billing discrepancy flagged in 2021 - closed,NHAI | Chennai Corporation (GCC)
CON009,Tamil Nadu Road Dev. Corp.,"193, Vadapalani Avenue, Tirunelveli, Tamil Nadu - 600040",+91-7588424566,tamil.roads@yahoo.co.in,33MZTAK6072Q1Z5,TN/PWD/ClassA/2000/892,Class A,09-Jun-2028,2000,25,Coastal & Marine Road Works,83,83,0,2080000000,25060240,2.8,Poor,Cleared,08-Mar-2024,0,Active - Clean Record,N/A,N/A,N/A,N/A,None,NHAI | Chennai Corporation (GCC) | PWD Tamil Nadu
CON010,Suresh & Sons Civil Works,"42, Vadapalani Main Road, Vellore, Tamil Nadu - 600046",+91-7537289492,suresh.roads@outlook.com,33WRVZK2216K1ZP,TN/PWD/ClassC/2011/832,Class C,17-Mar-2026,2011,14,Flyover & Grade Separator Projects,14,13,1,1280000000,91428571,4.2,Good,Cleared,07-Mar-2025,0,Active - Clean Record,N/A,N/A,N/A,N/A,None,Municipal Corporation Coimbatore
